date,location,infectives,mlrt,low,high
2020-05-23,GP,840.0,1.84,1.54,2.12
2020-05-24,GP,936.8,1.79,1.49,2.05
2020-05-25,GP,1032.7,1.73,1.44,1.98
2020-05-26,GP,1126.1,1.66,1.39,1.91
2020-05-27,GP,1218.8,1.59,1.32,1.83
2020-05-28,GP,1314.2,1.55,1.27,1.77
2020-05-29,GP,1417.2,1.54,1.29,1.77
2020-05-30,GP,1531.6,1.54,1.28,1.75
2020-05-31,GP,1662.2,1.56,1.3,1.76
2020-06-01,GP,1816.3,1.6,1.36,1.8
2020-06-02,GP,2002.5,1.65,1.41,1.84
2020-06-03,GP,2229.5,1.72,1.5,1.91
2020-06-04,GP,2507.5,1.79,1.58,1.97
2020-06-05,GP,2845.1,1.86,1.66,2.03
2020-06-06,GP,3248.0,1.91,1.73,2.08
2020-06-07,GP,3719.1,1.94,1.74,2.08
2020-06-08,GP,4255.1,1.94,1.76,2.08
2020-06-09,GP,4847.4,1.92,1.75,2.05
2020-06-10,GP,5481.3,1.87,1.7,1.99
2020-06-11,GP,6139.0,1.81,1.66,1.93
2020-06-12,GP,6806.8,1.73,1.59,1.85
2020-06-13,GP,7476.0,1.67,1.53,1.78
2020-06-14,GP,8141.9,1.61,1.47,1.71
2020-06-15,GP,8810.1,1.56,1.44,1.67
2020-06-16,GP,9492.2,1.53,1.39,1.62
2020-06-17,GP,10205.2,1.51,1.38,1.6
2020-06-18,GP,10968.1,1.51,1.39,1.6
2020-06-19,GP,11795.5,1.51,1.38,1.59
2020-06-20,GP,12696.0,1.51,1.4,1.6
2020-06-21,GP,13676.0,1.52,1.41,1.6
2020-06-22,GP,14729.4,1.52,1.41,1.6
2020-06-23,GP,15851.5,1.51,1.41,1.59
2020-06-24,GP,17038.2,1.51,1.42,1.59
2020-06-25,GP,18284.9,1.49,1.4,1.57
2020-06-26,GP,19581.2,1.48,1.39,1.55
2020-06-27,GP,20919.1,1.46,1.37,1.53
2020-06-28,GP,22288.3,1.44,1.35,1.51
2020-06-29,GP,23675.1,1.42,1.34,1.49
2020-06-30,GP,25060.3,1.4,1.31,1.46
2020-07-01,GP,26426.8,1.37,1.29,1.43
2020-07-02,GP,27765.8,1.35,1.27,1.41
2020-07-03,GP,29073.5,1.32,1.24,1.38
2020-07-04,GP,30331.6,1.3,1.23,1.36
2020-07-05,GP,31519.9,1.27,1.2,1.33
2020-07-06,GP,32608.3,1.24,1.16,1.29
2020-07-07,GP,33576.1,1.21,1.13,1.26
2020-07-08,GP,34390.9,1.17,1.09,1.22
2020-07-09,GP,35007.6,1.13,1.05,1.18
2020-07-10,GP,35388.5,1.08,1.01,1.13
2020-07-11,GP,35527.7,1.03,0.95,1.08
2020-07-12,GP,35410.3,0.98,0.9,1.03
2020-07-13,GP,35069.4,0.93,0.85,0.98
2020-07-14,GP,34522.7,0.89,0.81,0.94
2020-07-15,GP,33804.1,0.85,0.78,0.91
2020-07-16,GP,32953.6,0.82,0.75,0.88
2020-07-17,GP,32011.8,0.8,0.72,0.85
2020-07-18,GP,30991.6,0.77,0.7,0.83
2020-07-19,GP,29925.9,0.76,0.67,0.81
2020-07-20,GP,28829.1,0.74,0.66,0.8
2020-07-21,GP,27729.9,0.73,0.65,0.79
2020-07-22,GP,26646.3,0.72,0.64,0.78
2020-07-23,GP,25590.7,0.72,0.64,0.78
2020-07-24,GP,24559.0,0.71,0.62,0.77
2020-07-25,GP,23554.6,0.71,0.62,0.77
2020-07-26,GP,22580.8,0.7,0.62,0.77
2020-07-27,GP,21621.6,0.7,0.6,0.76
2020-07-28,GP,20651.3,0.68,0.59,0.75
2020-07-29,GP,19650.4,0.65,0.57,0.73
2020-07-30,GP,18606.6,0.62,0.52,0.69
2020-07-31,GP,17523.0,0.58,0.49,0.66
2020-08-01,GP,16416.3,0.55,0.44,0.62
2020-08-02,GP,15302.9,0.51,0.41,0.59
2020-08-03,GP,14204.8,0.48,0.37,0.56
2020-08-04,GP,13152.1,0.46,0.34,0.54
2020-08-05,GP,12156.1,0.45,0.34,0.54
2020-08-06,GP,11227.1,0.44,0.33,0.54
2020-08-07,GP,10376.6,0.45,0.32,0.54
2020-08-08,GP,9613.7,0.46,0.33,0.56
2020-08-09,GP,8947.7,0.49,0.37,0.6
2020-08-10,GP,8380.3,0.53,0.4,0.64
2020-08-11,GP,7900.4,0.58,0.43,0.68
2020-08-12,GP,7515.3,0.64,0.5,0.75
2020-08-13,GP,7223.1,0.71,0.58,0.83
2020-08-14,GP,7004.3,0.77,0.62,0.88
2020-08-15,GP,6829.3,0.81,0.67,0.93
2020-08-16,GP,6665.9,0.83,0.69,0.95
2020-08-17,GP,6498.9,0.82,0.67,0.94
2020-08-18,GP,6320.4,0.81,0.66,0.93
2020-08-19,GP,6108.4,0.77,0.62,0.89
2020-08-20,GP,5854.5,0.71,0.55,0.83
2020-08-21,GP,5564.3,0.66,0.51,0.79
2020-08-22,GP,5251.9,0.61,0.45,0.74
2020-08-23,GP,4932.7,0.57,0.4,0.7
2020-08-24,GP,4618.4,0.54,0.37,0.68
2020-08-25,GP,4323.0,0.54,0.38,0.69
2020-08-26,GP,4066.8,0.56,0.39,0.71
2020-08-27,GP,3853.8,0.61,0.43,0.76
2020-08-28,GP,3682.2,0.66,0.47,0.81
2020-08-29,GP,3544.3,0.72,0.53,0.87
2020-08-30,GP,3429.2,0.75,0.56,0.91
2020-08-31,GP,3323.0,0.77,0.58,0.93
2020-09-01,GP,3213.6,0.77,0.58,0.93
2020-09-02,GP,3095.0,0.74,0.54,0.9
2020-09-03,GP,2971.3,0.72,0.51,0.88
2020-09-04,GP,2849.5,0.71,0.51,0.88
2020-09-05,GP,2732.5,0.71,0.49,0.87
2020-09-06,GP,2622.2,0.71,0.51,0.89
2020-03-13,KZN,14.1,2.44,0.58,6.06
2020-03-14,KZN,17.3,2.39,0.84,4.28
2020-03-15,KZN,21.9,2.38,1.02,3.86
2020-03-16,KZN,28.2,2.5,1.25,3.71
2020-03-17,KZN,36.3,2.57,1.44,3.58
2020-03-18,KZN,46.3,2.59,1.65,3.51
2020-03-19,KZN,57.7,2.55,1.67,3.32
2020-03-20,KZN,69.6,2.46,1.68,3.16
2020-03-21,KZN,81.1,2.35,1.64,2.99
2020-03-22,KZN,91.3,2.2,1.56,2.81
2020-03-23,KZN,98.8,2.01,1.37,2.56
2020-03-24,KZN,103.3,1.82,1.21,2.35
2020-03-25,KZN,104.6,1.63,1.04,2.15
2020-03-26,KZN,103.2,1.45,0.85,1.95
2020-03-27,KZN,100.5,1.29,0.71,1.8
2020-03-28,KZN,97.6,1.17,0.6,1.69
2020-03-29,KZN,96.0,1.09,0.5,1.6
2020-03-30,KZN,97.2,1.09,0.5,1.6
2020-03-31,KZN,102.0,1.13,0.55,1.65
2020-04-01,KZN,110.4,1.22,0.66,1.75
2020-04-02,KZN,121.9,1.33,0.74,1.82
2020-04-03,KZN,135.3,1.43,0.88,1.93
2020-04-04,KZN,149.0,1.49,0.95,1.97
2020-04-05,KZN,161.3,1.5,0.99,1.98
2020-04-06,KZN,171.3,1.47,0.95,1.92
2020-04-07,KZN,178.3,1.41,0.9,1.85
2020-04-08,KZN,182.3,1.33,0.81,1.75
2020-04-09,KZN,183.4,1.24,0.73,1.66
2020-04-10,KZN,182.7,1.15,0.68,1.6
2020-04-11,KZN,181.9,1.09,0.61,1.53
2020-04-12,KZN,182.1,1.06,0.59,1.51
2020-04-13,KZN,183.9,1.05,0.59,1.51
2020-04-14,KZN,187.8,1.07,0.59,1.51
2020-04-15,KZN,193.7,1.11,0.61,1.53
2020-04-16,KZN,201.8,1.15,0.67,1.58
2020-04-17,KZN,211.0,1.19,0.71,1.61
2020-04-18,KZN,219.8,1.21,0.74,1.63
2020-04-19,KZN,226.8,1.21,0.73,1.61
2020-04-20,KZN,231.3,1.18,0.72,1.59
2020-04-21,KZN,233.2,1.14,0.7,1.56
2020-04-22,KZN,232.1,1.08,0.63,1.49
2020-04-23,KZN,228.1,1.01,0.56,1.42
2020-04-24,KZN,221.9,0.94,0.47,1.34
2020-04-25,KZN,215.3,0.89,0.43,1.3
2020-04-26,KZN,210.4,0.87,0.4,1.28
2020-04-27,KZN,207.6,0.87,0.39,1.28
2020-04-28,KZN,207.1,0.91,0.43,1.32
2020-04-29,KZN,208.6,0.94,0.47,1.36
2020-04-30,KZN,212.5,1.0,0.52,1.41
2020-05-01,KZN,218.6,1.05,0.57,1.46
2020-05-02,KZN,225.8,1.1,0.63,1.51
2020-05-03,KZN,233.0,1.13,0.67,1.54
2020-05-04,KZN,239.2,1.14,0.7,1.56
2020-05-05,KZN,243.7,1.13,0.66,1.52
2020-05-06,KZN,246.3,1.11,0.66,1.51
2020-05-07,KZN,246.6,1.07,0.61,1.46
2020-05-08,KZN,244.4,1.02,0.56,1.41
